Source, Destination, Travel Time
121, 222, 10.710000
122, 221, 29.480000
122, 206, 28.500000
115, 221, 21.450001
113, 203, 39.000000
115, 222, 32.400002
102, 221, 14.610000
122, 221, 34.330002
114, 213, 48.180000
114, 213, 36.599998
121, 214, 63.520000
114, 221, 61.840000
115, 213, 43.880001
114, 221, 52.740002
114, 221, 55.290001
101, 202, 40.740002
114, 221, 45.160000
101, 202, 30.530001
113, 215, 73.489998
114, 203, 65.010002
113, 214, 42.570000
114, 203, 78.830002
114, 213, 85.309998
114, 203, 64.900002
114, 222, 66.470001
114, 203, 57.009998
115, 214, 68.910004
101, 203, 115.540001
101, 222, 102.870003
115, 213, 82.699997
101, 203, 104.599998
122, 221, 40.410000
101, 221, 104.070000
122, 206, 92.769997
101, 221, 94.459999
114, 213, 39.290001
123, 203, 127.720001
101, 221, 86.089996
114, 202, 114.449997
114, 213, 21.450001
123, 203, 118.480003
101, 206, 129.869995
101, 206, 134.990005
101, 206, 127.459999
114, 213, 27.309999
122, 214, 135.070007
121, 214, 95.309998
114, 201, 160.850006
114, 201, 152.220001
101, 206, 119.519997
122, 213, 144.119995
101, 214, 132.029999
114, 215, 73.900002
112, 201, 83.919998
101, 206, 115.470001
114, 206, 77.809998
122, 214, 85.650002
101, 214, 131.330002
123, 206, 142.389999
102, 214, 81.129997
114, 221, 132.360001
114, 206, 63.459999
103, 222, 46.720001
114, 215, 57.869999
114, 206, 69.129997
114, 203, 80.389999
122, 203, 41.259998
123, 201, 67.029999
123, 202, 20.360001
103, 221, 60.590000
122, 206, 103.330002
114, 206, 133.559998
122, 221, 118.820000
101, 221, 158.250000
114, 213, 59.139999
123, 221, 172.929993
114, 213, 59.459999
114, 215, 122.050003
103, 213, 118.750000
122, 201, 128.740005
103, 201, 78.129997
122, 213, 63.320000
122, 201, 132.630005
115, 201, 230.710007
112, 201, 158.339996
113, 215, 142.529999
115, 213, 186.570007
114, 206, 130.440002
103, 222, 6.810000
122, 215, 191.850006
121, 206, 62.779999
122, 202, 199.020004
114, 222, 193.039993
121, 206, 19.780001
114, 222, 186.070007
123, 202, 22.559999
123, 202, 22.540001
102, 203, 201.360001
121, 203, 24.110001
101, 203, 250.520004
123, 203, 225.339996
115, 206, 237.610001
102, 221, 200.380005
101, 206, 256.179993
123, 221, 226.179993
101, 215, 322.390015
123, 206, 203.360001
114, 202, 282.769989
101, 215, 268.220001
102, 206, 112.959999
112, 215, 66.940002
102, 206, 36.000000
123, 214, 274.690002
121, 214, 75.529999
122, 201, 76.419998
122, 201, 86.750000
122, 213, 143.580002
123, 214, 229.479996
121, 201, 205.309998
102, 213, 106.269997
114, 206, 164.910004
102, 213, 72.970001
114, 215, 153.710007
114, 215, 144.020004
103, 222, 71.750000
103, 222, 66.800003
102, 201, 87.449997
121, 206, 67.349998
114, 222, 339.600006
114, 203, 346.220001
121, 222, 64.870003
123, 202, 67.519997
123, 203, 238.000000
123, 203, 199.270004
101, 222, 330.570007
122, 206, 95.180000
101, 221, 345.019989
102, 222, 67.320000
123, 206, 273.779999
102, 221, 92.379997
102, 221, 94.800003
102, 215, 227.889999
122, 215, 77.019997
102, 206, 67.220001
102, 215, 101.639999
102, 214, 99.669998
121, 214, 115.260002
102, 213, 87.430000
114, 215, 185.190002
123, 202, 249.559998
114, 215, 188.800003
103, 221, 46.759998
114, 213, 308.149994
123, 202, 154.789993
123, 201, 155.679993
123, 203, 291.279999
123, 202, 132.270004
123, 201, 154.649994
102, 203, 54.529999
122, 206, 49.799999
123, 221, 252.339996
102, 221, 107.699997
122, 206, 41.240002
102, 222, 10.710000
122, 221, 27.620001
114, 213, 345.239990
102, 215, 190.199997
102, 221, 75.720001
114, 213, 323.679993
123, 213, 331.250000
114, 215, 228.619995
114, 215, 219.490005
114, 215, 168.479996
121, 222, 55.580002
123, 201, 145.220001
123, 202, 98.660004
123, 203, 295.609985
102, 222, 41.110001
123, 201, 99.879997
102, 222, 34.259998
122, 221, 58.650002
123, 215, 330.420013
103, 215, 120.290001
123, 215, 327.260010
121, 214, 99.550003
103, 213, 132.649994
122, 214, 103.550003
102, 214, 46.750000
103, 206, 77.050003
114, 202, 617.780029
123, 202, 162.839996
122, 203, 21.180000
123, 201, 138.020004
123, 203, 374.609985
122, 206, 74.529999
123, 206, 406.220001
122, 215, 71.519997
102, 206, 43.360001
122, 202, 519.109985
123, 215, 404.709991
102, 206, 22.260000
122, 214, 103.169998
122, 214, 44.220001
122, 201, 119.760002
122, 201, 64.639999
122, 201, 55.439999
101, 202, 686.799988
114, 221, 704.159973
101, 202, 677.369995
115, 221, 721.750000
114, 203, 666.000000
114, 203, 694.229980
115, 203, 744.330017
121, 203, 10.710000
115, 221, 753.219971
122, 221, 83.529999
112, 221, 696.210022
122, 206, 70.129997
123, 221, 488.519989
123, 221, 492.100006
113, 221, 753.969971
101, 206, 721.419983
121, 215, 89.190002
114, 221, 692.609985
121, 215, 78.190002
114, 206, 598.119995
122, 215, 101.900002
114, 221, 697.969971
123, 214, 467.269989
101, 213, 747.780029
114, 221, 697.039978
112, 213, 263.350006
114, 221, 695.440002
114, 215, 411.920013
114, 221, 703.890015
114, 215, 415.670013
115, 221, 752.229980
