Source, Destination, Travel Time
114, 213, 10.150000
102, 203, 13.390000
122, 214, 17.510000
112, 214, 9.710000
114, 206, 17.830000
114, 206, 18.670000
102, 222, 10.710000
114, 206, 18.120001
114, 206, 13.610000
114, 221, 14.970000
101, 202, 49.849998
115, 214, 55.349998
114, 222, 89.660004
114, 203, 83.669998
114, 203, 69.150002
114, 222, 76.419998
102, 201, 79.830002
113, 215, 10.230000
114, 213, 82.459999
112, 215, 79.809998
101, 222, 94.800003
101, 203, 96.040001
101, 222, 56.369999
122, 221, 31.549999
115, 206, 53.450001
101, 203, 73.690002
115, 203, 58.820000
101, 203, 54.540001
122, 213, 77.879997
115, 203, 48.660000
112, 221, 30.180000
122, 206, 106.050003
103, 214, 119.250000
122, 214, 78.220001
114, 206, 71.220001
101, 206, 67.589996
101, 214, 77.730003
114, 206, 66.089996
101, 213, 64.940002
114, 206, 64.320000
123, 214, 111.260002
114, 206, 63.139999
112, 213, 14.450000
114, 221, 49.669998
101, 213, 72.809998
114, 202, 151.880005
114, 221, 41.410000
114, 201, 147.639999
121, 201, 123.839996
114, 221, 18.719999
115, 201, 101.050003
103, 222, 15.850000
113, 215, 9.650000
115, 214, 11.130000
122, 201, 48.049999
114, 222, 97.910004
114, 222, 83.690002
122, 215, 189.750000
114, 213, 45.090000
101, 222, 112.230003
113, 222, 197.500000
114, 213, 32.630001
101, 215, 194.500000
101, 203, 100.220001
123, 215, 166.070007
115, 206, 90.919998
122, 221, 26.280001
114, 213, 17.650000
101, 221, 98.699997
101, 206, 116.650002
115, 222, 116.489998
101, 203, 49.709999
101, 206, 57.450001
101, 203, 122.500000
101, 206, 64.809998
123, 206, 132.630005
114, 215, 48.869999
102, 206, 96.720001
114, 206, 56.049999
121, 201, 126.809998
113, 215, 66.980003
114, 203, 217.169998
113, 214, 54.779999
114, 203, 207.410004
114, 203, 183.020004
114, 222, 110.239998
114, 201, 189.820007
114, 222, 102.120003
114, 203, 146.559998
102, 201, 21.770000
114, 213, 100.790001
123, 215, 283.170013
102, 214, 216.429993
102, 213, 223.360001
114, 202, 302.529999
122, 215, 189.240005
114, 213, 46.070000
123, 215, 210.759995
123, 202, 14.770000
114, 206, 169.380005
122, 206, 64.040001
122, 221, 16.440001
123, 221, 139.690002
122, 206, 49.110001
102, 213, 259.779999
121, 214, 206.830002
102, 206, 58.500000
114, 215, 104.459999
122, 213, 142.669998
101, 214, 238.539993
114, 206, 109.769997
123, 214, 176.199997
123, 214, 210.509995
102, 214, 134.889999
123, 213, 148.970001
114, 206, 113.199997
114, 206, 97.790001
114, 206, 96.949997
114, 202, 318.130005
114, 206, 151.339996
114, 215, 87.459999
114, 206, 103.230003
115, 221, 213.470001
115, 221, 201.500000
114, 201, 262.369995
121, 201, 212.440002
114, 221, 155.350006
114, 201, 165.559998
114, 221, 196.270004
114, 221, 179.119995
101, 202, 286.470001
115, 214, 205.210007
122, 203, 47.130001
122, 201, 65.750000
122, 203, 13.130000
114, 203, 132.160004
114, 213, 24.299999
102, 215, 191.979996
102, 215, 195.130005
101, 203, 209.559998
121, 215, 84.500000
123, 201, 28.160000
103, 206, 70.879997
103, 221, 43.759998
122, 206, 77.300003
102, 203, 74.739998
114, 215, 148.339996
112, 214, 11.320000
121, 213, 74.919998
123, 206, 216.710007
101, 213, 239.940002
102, 221, 63.959999
123, 206, 220.279999
123, 213, 202.300003
114, 215, 130.910004
114, 215, 104.629997
114, 201, 259.989990
114, 201, 264.059998
113, 215, 39.080002
121, 201, 106.669998
103, 222, 55.520000
113, 215, 6.810000
121, 215, 160.360001
114, 213, 65.239998
122, 215, 113.300003
123, 203, 230.410004
102, 203, 52.029999
106, 214, 27.379999
123, 201, 9.670000
123, 213, 291.859985
123, 213, 243.899994
114, 206, 170.949997
114, 206, 160.789993
114, 215, 154.619995
114, 206, 157.940002
114, 215, 149.059998
114, 206, 156.699997
114, 215, 152.669998
114, 215, 137.080002
113, 215, 57.849998
103, 222, 19.139999
121, 203, 51.869999
122, 203, 62.150002
102, 201, 53.910000
114, 213, 48.029999
103, 215, 204.149994
123, 203, 303.679993
102, 215, 88.449997
122, 221, 48.959999
112, 206, 31.389999
123, 203, 241.580002
123, 221, 299.529999
123, 202, 52.270000
103, 213, 88.790001
114, 215, 181.360001
122, 213, 111.809998
102, 221, 64.010002
102, 203, 16.660000
114, 215, 183.889999
102, 213, 71.769997
114, 206, 177.830002
114, 215, 177.880005
114, 215, 181.309998
114, 215, 177.250000
114, 201, 508.459991
103, 201, 47.410000
113, 222, 633.219971
121, 201, 82.839996
114, 222, 474.820007
102, 201, 35.410000
114, 222, 450.750000
114, 213, 132.070007
114, 202, 656.409973
114, 213, 135.259995
123, 202, 75.550003
102, 222, 43.849998
122, 213, 22.120001
123, 214, 350.790009
103, 213, 78.360001
114, 215, 236.679993
102, 206, 14.610000
123, 214, 348.420013
123, 213, 337.329987
112, 206, 9.710000
114, 215, 202.970001
114, 215, 193.089996
115, 202, 745.090027
113, 221, 572.750000
114, 215, 188.919998
114, 221, 471.920013
114, 206, 287.299988
114, 221, 466.519989
114, 206, 289.339996
114, 221, 463.570007
114, 206, 280.690002
114, 203, 525.929993
122, 203, 75.470001
115, 213, 611.559998
114, 203, 482.260010
115, 222, 624.989990
121, 203, 66.500000
114, 222, 487.660004
122, 215, 128.729996
123, 203, 397.510010
122, 206, 72.650002
122, 221, 106.059998
101, 222, 669.539978
101, 221, 704.890015
122, 206, 49.279999
123, 201, 62.090000
123, 202, 38.450001
102, 221, 59.480000
102, 222, 47.990002
102, 221, 55.110001
123, 213, 380.100006
123, 214, 434.779999
102, 214, 95.699997
114, 215, 173.669998
114, 215, 166.960007
102, 214, 23.240000
114, 215, 165.899994
114, 215, 168.880005
114, 201, 583.760010
114, 201, 589.239990
115, 213, 645.659973
