Source, Destination, Travel Time
114, 215, 7.870000
114, 221, 18.230000
122, 202, 45.689999
114, 221, 14.890000
114, 206, 20.610001
101, 202, 41.299999
101, 202, 44.580002
115, 214, 46.959999
113, 214, 6.810000
115, 213, 64.669998
101, 202, 35.990002
103, 222, 35.500000
122, 203, 81.379997
115, 213, 49.430000
114, 203, 94.589996
114, 222, 95.980003
114, 222, 79.400002
114, 203, 98.360001
114, 222, 60.369999
114, 203, 72.660004
114, 213, 96.419998
114, 213, 91.769997
122, 203, 14.880000
123, 201, 48.290001
103, 221, 65.949997
101, 203, 85.870003
115, 203, 117.589996
115, 222, 110.989998
112, 214, 15.680000
122, 214, 100.040001
114, 221, 76.029999
101, 221, 91.349998
101, 203, 87.500000
103, 214, 65.000000
101, 203, 76.000000
114, 206, 76.889999
122, 213, 83.809998
101, 222, 62.919998
114, 215, 68.599998
122, 213, 83.949997
101, 206, 123.110001
114, 215, 69.040001
122, 213, 59.189999
101, 214, 119.839996
101, 206, 127.190002
123, 203, 70.769997
101, 213, 110.910004
101, 214, 82.529999
123, 206, 114.239998
114, 221, 77.769997
101, 213, 104.980003
102, 206, 91.800003
114, 215, 70.220001
101, 213, 149.869995
114, 202, 151.850006
114, 221, 79.150002
121, 206, 6.810000
114, 203, 133.869995
114, 201, 140.479996
114, 203, 132.970001
102, 201, 65.750000
101, 215, 163.619995
101, 222, 130.089996
114, 203, 124.550003
106, 221, 6.810000
123, 215, 150.330002
101, 203, 129.559998
123, 201, 35.389999
122, 221, 17.680000
123, 203, 94.410004
102, 222, 18.200001
114, 215, 130.970001
114, 215, 126.160004
114, 213, 207.639999
123, 214, 95.790001
114, 215, 120.279999
112, 206, 9.710000
102, 214, 31.969999
114, 215, 115.900002
114, 206, 125.370003
114, 215, 116.330002
114, 201, 181.520004
114, 201, 209.449997
114, 201, 162.369995
114, 201, 177.649994
114, 201, 218.610001
121, 206, 52.580002
114, 222, 223.820007
114, 201, 181.009995
114, 201, 245.779999
102, 201, 78.870003
114, 222, 225.320007
114, 213, 252.690002
101, 215, 225.800003
102, 201, 55.230000
102, 213, 174.759995
114, 202, 309.040009
113, 222, 281.529999
114, 203, 155.399994
123, 215, 175.949997
114, 213, 246.789993
121, 222, 108.040001
123, 201, 30.809999
112, 222, 146.649994
123, 201, 32.840000
114, 222, 209.179993
123, 206, 59.439999
101, 213, 246.039993
122, 214, 62.610001
103, 213, 199.919998
123, 213, 134.839996
123, 213, 136.389999
102, 214, 36.860001
102, 213, 56.610001
114, 206, 155.100006
114, 215, 121.459999
114, 202, 350.470001
114, 221, 260.989990
114, 201, 214.550003
114, 201, 288.899994
114, 221, 227.389999
114, 206, 125.040001
121, 201, 69.230003
114, 221, 196.309998
113, 222, 238.710007
112, 203, 205.600006
112, 201, 194.830002
102, 201, 102.339996
102, 201, 77.910004
101, 222, 323.589996
101, 222, 325.230011
123, 201, 65.489998
123, 202, 63.799999
115, 206, 362.200012
123, 201, 35.119999
123, 221, 147.009995
123, 206, 46.590000
114, 215, 181.619995
123, 213, 86.209999
112, 206, 9.710000
102, 206, 68.510002
112, 206, 9.710000
114, 215, 176.899994
102, 213, 21.410000
114, 201, 304.910004
115, 213, 423.220001
115, 214, 356.390015
115, 214, 348.459991
122, 201, 80.550003
122, 203, 78.839996
123, 203, 99.790001
123, 202, 6.810000
123, 202, 58.389999
122, 221, 100.629997
123, 203, 88.169998
122, 206, 61.959999
102, 203, 63.790001
114, 215, 195.229996
114, 215, 192.210007
122, 213, 87.669998
123, 213, 113.709999
102, 213, 70.790001
123, 201, 6.810000
102, 213, 23.809999
114, 215, 165.050003
114, 222, 438.660004
112, 222, 329.880005
122, 203, 66.800003
114, 203, 420.130005
121, 203, 50.830002
122, 215, 162.259995
123, 203, 113.330002
122, 215, 136.169998
123, 202, 52.410000
122, 221, 136.830002
122, 206, 82.449997
114, 203, 409.779999
121, 214, 320.619995
122, 213, 59.799999
114, 203, 397.000000
114, 213, 497.260010
123, 213, 57.650002
102, 221, 14.610000
114, 201, 442.119995
114, 201, 480.179993
113, 214, 21.520000
114, 201, 421.700012
114, 203, 402.950012
114, 201, 437.760010
115, 203, 625.419983
115, 203, 610.380005
114, 213, 563.640015
122, 215, 151.809998
114, 202, 670.500000
122, 215, 104.730003
114, 213, 560.830017
123, 215, 204.860001
123, 201, 31.219999
122, 206, 80.900002
121, 214, 255.610001
123, 214, 140.050003
123, 201, 6.810000
102, 222, 44.770000
102, 206, 57.180000
121, 213, 202.779999
123, 201, 9.280000
121, 213, 140.839996
102, 206, 16.740000
115, 202, 707.869995
114, 215, 271.619995
114, 206, 395.549988
114, 201, 503.399994
113, 215, 35.340000
114, 206, 413.269989
114, 206, 400.260010
114, 206, 376.329987
103, 222, 6.810000
114, 201, 576.450012
102, 201, 6.810000
121, 215, 504.809998
121, 215, 275.299988
123, 215, 193.020004
123, 201, 43.160000
114, 206, 377.940002
122, 221, 105.989998
101, 203, 717.140015
101, 221, 728.510010
112, 214, 226.860001
112, 214, 217.940002
114, 215, 327.970001
101, 206, 730.599976
122, 213, 72.940002
122, 214, 53.849998
122, 213, 40.580002
123, 213, 166.449997
102, 222, 10.710000
123, 213, 164.850006
123, 213, 159.990005
114, 201, 628.020020
114, 201, 635.280029
