Source, Destination, Travel Time
102, 203, 13.390000
115, 214, 6.810000
102, 222, 10.710000
112, 215, 19.809999
114, 213, 39.400002
115, 202, 45.090000
114, 213, 26.360001
122, 215, 33.650002
112, 214, 43.639999
122, 214, 56.529999
103, 214, 59.150002
101, 202, 49.849998
114, 206, 57.830002
114, 206, 58.669998
114, 206, 57.470001
114, 206, 47.330002
114, 221, 47.790001
113, 215, 9.840000
102, 201, 79.830002
114, 203, 93.669998
114, 203, 79.150002
114, 222, 103.559998
114, 222, 90.320000
114, 203, 68.889999
101, 222, 104.800003
101, 203, 106.040001
101, 222, 66.370003
101, 203, 83.690002
101, 203, 64.540001
114, 206, 75.820000
122, 206, 118.250000
122, 221, 51.549999
114, 206, 70.690002
114, 206, 68.919998
101, 206, 79.790001
101, 215, 131.399994
115, 206, 85.150002
114, 202, 151.880005
123, 215, 106.870003
122, 214, 110.320000
121, 214, 46.830002
121, 201, 123.839996
114, 201, 147.639999
112, 213, 34.849998
101, 214, 108.830002
123, 214, 139.460007
122, 213, 124.580002
114, 206, 91.440002
101, 213, 100.940002
102, 214, 83.480003
101, 213, 101.010002
102, 213, 98.209999
102, 213, 123.180000
103, 222, 25.850000
113, 215, 6.810000
113, 215, 23.219999
115, 203, 142.619995
115, 203, 132.460007
114, 203, 125.209999
114, 203, 100.820000
115, 214, 39.709999
113, 214, 6.810000
101, 222, 122.230003
115, 214, 32.450001
101, 203, 110.220001
101, 203, 59.709999
101, 203, 132.500000
122, 221, 46.279999
101, 206, 136.649994
101, 221, 118.699997
101, 206, 80.910004
123, 215, 223.169998
114, 213, 85.089996
101, 206, 81.349998
114, 213, 72.629997
122, 215, 129.240005
123, 206, 152.630005
123, 215, 150.759995
102, 206, 112.320000
122, 213, 78.769997
123, 214, 142.710007
114, 215, 73.269997
122, 201, 113.870003
114, 201, 150.910004
102, 214, 67.089996
101, 214, 178.539993
121, 201, 116.339996
114, 215, 63.959999
102, 201, 21.770000
114, 202, 302.529999
114, 222, 207.910004
123, 202, 14.770000
122, 221, 36.439999
122, 206, 84.040001
122, 206, 69.110001
123, 221, 159.690002
102, 206, 77.199997
102, 215, 131.979996
114, 202, 318.130005
102, 215, 135.130005
123, 214, 208.399994
114, 215, 96.260002
114, 201, 262.369995
121, 201, 226.809998
123, 213, 177.270004
114, 215, 96.139999
114, 215, 74.809998
114, 206, 242.229996
101, 202, 286.470001
112, 221, 297.540009
114, 206, 200.529999
114, 206, 196.820007
103, 206, 55.529999
114, 203, 248.759995
122, 203, 57.130001
122, 203, 23.129999
114, 222, 289.790009
123, 201, 31.230000
101, 203, 219.559998
102, 203, 83.940002
122, 221, 32.939999
115, 206, 310.920013
122, 206, 93.400002
102, 221, 76.660004
114, 206, 221.169998
123, 206, 232.809998
114, 206, 217.800003
121, 215, 116.699997
114, 206, 202.389999
121, 215, 104.260002
114, 206, 201.550003
123, 206, 244.179993
114, 206, 203.929993
115, 206, 282.100006
121, 213, 114.919998
122, 214, 56.099998
121, 201, 102.769997
122, 201, 131.589996
112, 214, 55.220001
114, 215, 113.430000
122, 213, 73.000000
123, 213, 245.100006
101, 213, 290.540009
114, 215, 104.599998
114, 215, 103.699997
103, 206, 73.080002
114, 213, 308.260010
114, 203, 243.729996
123, 203, 238.610001
102, 222, 13.310000
102, 203, 57.330002
122, 206, 58.240002
121, 215, 57.389999
114, 213, 340.790009
114, 213, 286.070007
122, 215, 131.729996
114, 215, 131.610001
121, 214, 67.480003
121, 213, 126.750000
114, 201, 361.660004
122, 201, 124.760002
122, 213, 143.259995
103, 214, 126.269997
114, 201, 287.660004
122, 213, 115.199997
123, 213, 287.799988
123, 213, 343.559998
114, 215, 64.980003
114, 215, 65.410004
112, 206, 12.200000
102, 201, 21.730000
121, 203, 57.150002
123, 201, 16.110001
123, 203, 313.679993
102, 222, 39.450001
102, 222, 13.910000
122, 221, 55.200001
122, 221, 31.379999
122, 206, 23.389999
123, 221, 323.429993
123, 221, 271.980011
102, 206, 14.610000
102, 221, 66.300003
122, 214, 67.879997
114, 215, 130.199997
102, 213, 109.449997
115, 213, 486.690002
114, 202, 645.789978
121, 203, 21.889999
122, 203, 70.260002
122, 221, 108.330002
103, 206, 33.529999
122, 221, 105.489998
123, 206, 350.589996
121, 215, 119.809998
123, 206, 370.140015
114, 202, 667.059998
112, 215, 20.219999
122, 206, 86.330002
123, 215, 359.290009
102, 206, 66.720001
122, 214, 119.680000
122, 213, 123.639999
102, 213, 71.500000
114, 215, 247.960007
114, 221, 702.320007
102, 201, 65.169998
101, 222, 679.539978
122, 206, 94.449997
114, 206, 475.549988
122, 221, 139.949997
114, 221, 717.710022
101, 221, 724.890015
114, 206, 459.209991
114, 221, 695.020020
114, 206, 425.940002
114, 221, 673.390015
122, 215, 73.230003
123, 215, 328.459991
114, 221, 660.140015
101, 215, 647.570007
114, 215, 303.640015
122, 213, 77.269997
122, 201, 112.680000
114, 206, 349.100006
114, 221, 655.869995
123, 213, 381.750000
114, 215, 300.260010
115, 201, 801.049988
114, 215, 299.809998
115, 221, 733.489990
115, 221, 721.520020
114, 206, 326.859985
114, 201, 729.859985
114, 221, 598.659973
114, 215, 284.920013
