Source, Destination, Travel Time
114, 213, 28.180000
122, 206, 18.500000
122, 221, 19.480000
114, 213, 16.600000
115, 222, 22.400000
102, 221, 14.610000
121, 214, 43.520000
114, 221, 41.840000
114, 221, 31.740000
114, 221, 34.290001
114, 221, 24.160000
114, 213, 45.310001
114, 221, 17.580000
113, 215, 53.490002
101, 202, 40.740002
113, 214, 22.570000
101, 202, 30.530001
115, 214, 48.900002
114, 203, 69.930000
115, 213, 71.099998
114, 203, 63.910000
114, 222, 61.470001
114, 203, 59.900002
115, 213, 70.489998
114, 222, 46.299999
114, 203, 52.919998
101, 222, 97.870003
101, 203, 110.540001
114, 203, 55.910000
121, 222, 97.690002
101, 203, 99.599998
114, 213, 19.290001
122, 221, 115.220001
122, 221, 34.310001
122, 206, 82.769997
115, 221, 111.449997
101, 221, 97.970001
115, 203, 66.629997
101, 221, 88.360001
101, 206, 115.970001
123, 203, 122.720001
101, 206, 121.089996
101, 221, 79.989998
122, 214, 115.070000
121, 214, 75.309998
123, 203, 113.480003
101, 206, 113.559998
122, 213, 124.120003
101, 214, 112.029999
114, 221, 63.820000
101, 206, 105.620003
101, 214, 111.330002
122, 214, 65.650002
114, 202, 114.449997
101, 206, 101.570000
112, 221, 9.710000
114, 206, 53.860001
123, 206, 128.490005
102, 214, 67.230003
114, 215, 69.970001
114, 201, 152.220001
112, 201, 80.019997
115, 201, 130.710007
114, 201, 164.750000
114, 206, 76.309998
114, 206, 47.360001
113, 215, 52.990002
103, 222, 41.720001
114, 203, 79.290001
122, 203, 40.160000
114, 203, 97.029999
123, 201, 67.029999
123, 202, 20.360001
114, 213, 97.550003
101, 215, 202.389999
103, 221, 50.590000
114, 213, 95.559998
113, 221, 140.070007
113, 203, 229.000000
122, 206, 97.230003
122, 221, 108.820000
101, 221, 148.250000
123, 221, 162.929993
115, 221, 162.149994
103, 213, 98.750000
122, 213, 43.320000
114, 202, 182.770004
114, 221, 101.209999
112, 201, 46.439999
103, 201, 78.129997
114, 221, 110.470001
114, 221, 101.739998
114, 221, 100.139999
112, 201, 166.820007
113, 215, 6.810000
103, 201, 10.710000
121, 206, 52.770000
114, 203, 143.080002
115, 213, 213.889999
114, 222, 188.039993
102, 203, 191.360001
121, 203, 20.330000
114, 222, 181.070007
113, 214, 9.440000
114, 222, 185.559998
121, 203, 11.540000
101, 203, 245.539993
114, 222, 174.199997
121, 222, 18.690001
123, 203, 220.360001
102, 221, 190.380005
101, 206, 246.179993
123, 221, 216.179993
115, 203, 240.710007
102, 203, 36.669998
123, 206, 193.360001
102, 206, 102.959999
123, 214, 205.580002
112, 214, 63.080002
122, 213, 123.580002
123, 214, 258.589996
102, 213, 86.269997
122, 201, 228.729996
122, 201, 228.740005
114, 215, 224.380005
114, 201, 230.229996
114, 201, 179.050003
114, 215, 227.559998
114, 206, 235.860001
114, 201, 213.460007
121, 201, 209.210007
115, 206, 272.890015
114, 206, 167.690002
114, 206, 126.300003
114, 206, 225.419998
113, 214, 69.589996
112, 203, 58.810001
114, 203, 274.880005
102, 201, 24.320000
114, 203, 169.839996
114, 203, 164.070007
121, 222, 10.710000
123, 203, 236.899994
101, 222, 325.570007
123, 202, 37.750000
123, 203, 198.169998
123, 206, 259.880005
101, 221, 335.019989
112, 214, 9.710000
114, 201, 205.369995
122, 215, 351.149994
122, 201, 68.690002
114, 213, 281.220001
123, 202, 249.559998
114, 202, 417.779999
123, 203, 286.279999
123, 202, 95.370003
114, 213, 335.559998
101, 215, 444.320007
123, 221, 242.339996
102, 215, 311.790009
114, 213, 329.970001
121, 215, 70.400002
123, 202, 8.520000
123, 202, 10.030000
121, 214, 122.559998
123, 213, 315.149994
114, 202, 419.339996
115, 221, 488.500000
113, 221, 473.750000
114, 203, 461.000000
114, 222, 472.850006
121, 222, 63.919998
112, 215, 41.000000
103, 206, 327.390015
114, 203, 347.989990
123, 206, 315.109985
123, 206, 335.269989
121, 214, 77.190002
112, 214, 9.710000
114, 221, 294.369995
114, 201, 390.950012
114, 201, 375.309998
114, 201, 374.649994
112, 221, 90.919998
114, 203, 392.839996
114, 203, 317.850006
112, 203, 129.119995
115, 203, 608.460022
122, 203, 316.029999
115, 213, 542.909973
102, 203, 334.369995
115, 214, 419.190002
122, 215, 416.839996
103, 206, 307.079987
115, 206, 557.539978
115, 221, 591.530029
102, 203, 300.630005
115, 221, 594.719971
122, 206, 392.649994
102, 222, 229.149994
122, 214, 423.619995
102, 206, 411.589996
123, 214, 413.869995
112, 206, 9.710000
123, 214, 378.450012
114, 221, 585.039978
102, 214, 249.990005
114, 201, 387.239990
102, 214, 236.389999
114, 221, 378.480011
114, 215, 553.059998
101, 202, 686.799988
113, 215, 420.059998
101, 202, 677.369995
113, 214, 411.170013
113, 215, 397.220001
113, 203, 705.609985
123, 201, 174.869995
122, 203, 268.160004
102, 203, 231.220001
102, 221, 240.330002
122, 206, 370.359985
114, 203, 544.710022
114, 203, 546.380005
122, 206, 343.779999
102, 221, 88.230003
122, 206, 344.470001
101, 206, 719.219971
114, 215, 604.520020
122, 214, 361.859985
122, 214, 364.920013
123, 214, 325.630005
114, 201, 671.260010
114, 201, 580.590027
122, 201, 457.010010
114, 206, 558.840027
114, 206, 529.119995
121, 206, 47.540001
