Source, Destination, Travel Time
114, 221, 27.940001
113, 215, 6.810000
115, 213, 15.010000
115, 221, 29.950001
115, 213, 14.400000
115, 214, 6.810000
114, 201, 60.849998
114, 213, 68.180000
114, 213, 56.599998
121, 214, 83.510002
121, 214, 15.300000
101, 202, 40.740002
115, 222, 80.099998
115, 201, 52.009998
101, 202, 30.530001
114, 201, 81.320000
121, 222, 74.889999
122, 206, 88.500000
114, 221, 72.440002
102, 221, 69.910004
101, 203, 95.540001
101, 222, 82.870003
114, 221, 71.089996
122, 221, 93.379997
114, 203, 71.129997
122, 221, 93.019997
122, 213, 83.610001
122, 206, 58.959999
101, 203, 88.500000
114, 203, 69.010002
114, 221, 64.860001
122, 214, 82.360001
101, 206, 89.480003
114, 222, 66.570000
114, 215, 21.190001
101, 206, 92.160004
101, 221, 78.470001
114, 221, 58.279999
114, 203, 68.900002
101, 206, 85.849998
114, 203, 61.919998
114, 221, 34.720001
114, 206, 29.000000
101, 206, 70.370003
101, 221, 72.760002
113, 214, 58.660000
114, 206, 21.150000
101, 206, 82.220001
123, 203, 107.720001
101, 221, 64.389999
123, 203, 98.480003
123, 206, 101.190002
113, 221, 45.169998
113, 215, 6.810000
114, 213, 125.309998
115, 221, 69.500000
115, 213, 61.700001
114, 202, 114.449997
115, 221, 69.519997
112, 221, 12.510000
112, 201, 80.019997
114, 213, 59.290001
101, 215, 142.389999
114, 213, 41.450001
103, 222, 26.730000
101, 214, 143.520004
101, 214, 148.119995
102, 214, 93.320000
122, 201, 56.820000
103, 221, 20.590000
122, 221, 104.309998
114, 206, 72.650002
122, 203, 32.959999
103, 213, 59.849998
122, 221, 82.720001
122, 206, 71.129997
122, 214, 121.849998
114, 206, 75.470001
101, 221, 122.150002
114, 215, 70.059998
123, 221, 136.830002
114, 215, 73.239998
123, 202, 20.360001
123, 201, 67.029999
114, 221, 68.209999
114, 221, 69.669998
114, 222, 181.279999
114, 203, 186.990005
122, 215, 152.339996
121, 206, 22.780001
101, 215, 188.220001
102, 203, 161.360001
123, 214, 194.679993
113, 203, 282.799988
122, 203, 14.820000
114, 222, 176.940002
115, 203, 224.330002
114, 222, 169.970001
114, 203, 182.029999
114, 206, 138.440002
122, 221, 10.710000
114, 222, 174.460007
114, 203, 172.089996
114, 221, 129.740005
101, 206, 222.779999
101, 203, 230.539993
102, 221, 167.039993
122, 213, 80.779999
114, 222, 177.350006
114, 203, 175.479996
114, 221, 128.139999
123, 203, 201.460007
122, 213, 104.419998
114, 203, 169.399994
114, 222, 163.100006
114, 202, 217.779999
114, 221, 136.589996
123, 221, 196.779999
114, 206, 103.400002
114, 203, 155.380005
114, 222, 133.169998
114, 215, 89.300003
123, 202, 19.540001
123, 202, 20.600000
113, 203, 214.009995
114, 215, 79.610001
112, 213, 12.870000
123, 206, 176.860001
102, 206, 90.360001
113, 221, 225.770004
102, 221, 34.570000
115, 206, 246.110001
114, 213, 213.740005
122, 202, 241.289993
115, 221, 217.830002
112, 221, 13.330000
102, 215, 147.889999
114, 213, 179.139999
114, 213, 179.460007
102, 213, 118.459999
123, 214, 245.570007
102, 214, 76.650002
122, 201, 254.759995
121, 201, 227.440002
112, 201, 280.470001
114, 201, 256.260010
115, 206, 227.539993
115, 221, 260.820007
114, 201, 208.979996
122, 201, 107.559998
114, 206, 147.119995
101, 222, 310.570007
101, 221, 311.619995
122, 214, 49.529999
122, 214, 69.699997
114, 221, 131.570007
123, 206, 244.380005
114, 221, 135.990005
113, 215, 67.699997
102, 221, 74.769997
102, 206, 49.130001
114, 221, 128.789993
103, 201, 278.130005
114, 201, 271.260010
103, 215, 180.669998
102, 215, 83.570000
123, 202, 249.559998
102, 214, 59.860001
121, 214, 61.160000
114, 201, 330.859985
112, 201, 275.540009
114, 221, 185.190002
114, 221, 188.729996
112, 201, 222.690002
114, 221, 181.779999
114, 206, 168.539993
114, 215, 150.139999
114, 221, 183.259995
114, 215, 146.250000
114, 221, 178.520004
114, 221, 160.929993
114, 206, 150.080002
114, 215, 145.369995
114, 206, 150.529999
123, 202, 137.470001
123, 221, 237.539993
102, 222, 68.400002
114, 221, 151.570007
121, 201, 276.230011
114, 201, 305.369995
122, 215, 109.440002
114, 201, 284.760010
114, 201, 283.630005
114, 201, 285.790009
123, 213, 351.239990
121, 214, 13.610000
122, 203, 26.590000
114, 215, 183.910004
114, 206, 203.449997
122, 206, 44.630001
122, 221, 71.400002
114, 221, 221.460007
114, 206, 188.020004
114, 221, 181.559998
114, 206, 157.059998
114, 215, 148.440002
123, 201, 224.089996
123, 221, 323.019989
114, 221, 175.889999
123, 201, 204.889999
114, 206, 162.679993
123, 213, 331.160004
123, 221, 303.760010
123, 201, 174.839996
114, 206, 147.240005
102, 222, 26.139999
102, 221, 37.349998
112, 221, 12.990000
122, 215, 94.529999
114, 222, 480.829987
114, 201, 465.230011
114, 201, 483.309998
115, 203, 598.409973
114, 206, 205.500000
114, 203, 458.739990
122, 221, 21.280001
114, 206, 199.369995
114, 203, 452.970001
122, 206, 29.469999
123, 203, 521.900024
102, 201, 92.989998
102, 213, 389.179993
114, 206, 199.679993
115, 203, 601.260010
123, 203, 483.170013
114, 206, 194.559998
112, 203, 349.869995
114, 202, 622.090027
114, 221, 206.750000
114, 215, 171.570007
102, 213, 391.329987
123, 203, 482.980011
114, 206, 197.550003
114, 203, 429.010010
114, 221, 194.990005
114, 215, 175.389999
102, 203, 266.890015
114, 206, 185.809998
114, 203, 431.899994
112, 222, 361.230011
114, 215, 172.889999
123, 203, 394.589996
114, 203, 418.809998
114, 222, 453.779999
