Source, Destination, Travel Time
122, 203, 6.810000
115, 213, 6.810000
115, 222, 30.990000
115, 203, 37.590000
114, 213, 36.419998
122, 202, 45.689999
114, 213, 31.770000
101, 202, 41.299999
101, 202, 44.580002
115, 214, 43.880001
114, 215, 46.689999
114, 221, 54.330002
101, 202, 35.990002
114, 221, 50.810001
114, 206, 54.630001
103, 222, 45.500000
103, 221, 50.599998
113, 214, 26.200001
114, 203, 104.589996
114, 222, 109.879997
114, 203, 108.360001
114, 213, 87.639999
114, 203, 82.660004
114, 222, 93.300003
123, 201, 48.290001
122, 203, 20.980000
115, 213, 77.730003
101, 203, 99.769997
101, 203, 97.500000
101, 221, 103.050003
114, 206, 84.389999
101, 203, 86.000000
101, 222, 69.019997
115, 206, 86.300003
114, 213, 92.690002
114, 202, 151.850006
114, 213, 86.790001
123, 203, 80.769997
101, 206, 139.210007
101, 206, 143.289993
112, 214, 55.680000
103, 214, 101.000000
114, 201, 109.449997
114, 215, 100.800003
122, 214, 142.839996
122, 213, 119.809998
123, 206, 138.139999
122, 213, 119.949997
101, 214, 151.940002
114, 215, 101.239998
102, 206, 115.199997
101, 214, 113.629997
122, 213, 95.190002
101, 213, 146.910004
114, 215, 102.419998
101, 213, 181.970001
101, 213, 144.880005
102, 213, 56.529999
114, 215, 102.169998
114, 221, 148.610001
114, 215, 97.360001
112, 206, 12.550000
102, 201, 65.750000
114, 203, 143.869995
114, 203, 142.970001
112, 222, 41.049999
123, 201, 35.389999
114, 222, 141.619995
114, 222, 178.169998
101, 222, 143.990005
101, 203, 139.559998
123, 202, 6.810000
123, 203, 104.410004
102, 203, 32.099998
112, 206, 27.450001
115, 221, 190.529999
114, 221, 177.470001
101, 215, 203.619995
114, 213, 115.180000
114, 221, 163.250000
123, 215, 190.330002
114, 213, 107.540001
114, 221, 153.710007
112, 215, 30.100000
112, 221, 60.860001
103, 213, 136.020004
123, 214, 127.889999
114, 201, 201.570007
114, 215, 152.479996
121, 213, 85.760002
122, 213, 71.180000
114, 206, 150.770004
112, 213, 40.130001
101, 213, 201.639999
114, 215, 148.100006
114, 215, 144.630005
114, 221, 148.710007
114, 201, 234.250000
114, 202, 309.040009
114, 222, 195.779999
123, 201, 54.849998
121, 203, 29.500000
115, 213, 259.320007
115, 214, 189.460007
123, 201, 54.169998
106, 221, 6.810000
115, 214, 181.529999
123, 201, 49.439999
102, 222, 61.810001
123, 201, 6.810000
123, 221, 139.899994
114, 206, 164.850006
123, 221, 127.370003
102, 206, 25.100000
102, 221, 95.040001
101, 215, 265.799988
114, 202, 350.470001
123, 215, 215.949997
122, 215, 92.150002
123, 214, 103.339996
114, 201, 242.100006
122, 201, 59.360001
114, 201, 314.709991
114, 201, 292.799988
114, 206, 185.399994
114, 215, 157.850006
114, 206, 190.830002
114, 206, 164.250000
114, 215, 147.649994
114, 215, 148.589996
113, 214, 67.230003
102, 201, 59.099998
114, 222, 323.619995
122, 203, 52.299999
121, 222, 24.930000
123, 202, 44.779999
123, 203, 158.630005
101, 222, 333.589996
101, 222, 335.230011
123, 203, 52.750000
122, 206, 113.779999
102, 221, 48.049999
114, 206, 187.500000
113, 206, 206.839996
122, 206, 55.799999
123, 206, 89.790001
122, 215, 85.949997
102, 206, 90.080002
112, 213, 70.360001
122, 201, 127.029999
112, 213, 70.419998
102, 213, 65.260002
114, 206, 221.169998
114, 215, 177.710007
112, 213, 9.710000
122, 203, 72.949997
114, 213, 359.010010
123, 202, 34.740002
122, 203, 25.780001
122, 203, 15.470000
102, 222, 46.070000
123, 202, 6.810000
102, 222, 25.209999
122, 221, 79.839996
123, 221, 165.740005
123, 221, 51.709999
114, 213, 377.260010
112, 215, 36.869999
102, 221, 33.919998
122, 215, 60.590000
114, 213, 350.420013
123, 215, 65.550003
112, 213, 30.170000
122, 201, 122.639999
121, 201, 65.480003
122, 214, 137.910004
122, 201, 49.790001
114, 215, 202.649994
102, 213, 108.800003
102, 213, 123.449997
102, 213, 46.169998
114, 215, 166.279999
114, 215, 159.020004
121, 206, 27.260000
115, 222, 549.090027
121, 206, 13.760000
123, 201, 72.160004
123, 203, 97.470001
123, 221, 140.550003
102, 221, 83.029999
123, 206, 118.739998
122, 215, 115.419998
122, 215, 47.080002
122, 214, 85.620003
122, 201, 80.820000
102, 213, 52.560001
114, 215, 205.410004
102, 201, 95.129997
102, 201, 27.670000
114, 202, 670.500000
123, 201, 52.099998
123, 201, 8.870000
123, 203, 113.120003
123, 203, 64.650002
102, 203, 85.150002
123, 202, 6.810000
122, 206, 65.050003
121, 215, 53.619999
102, 221, 17.010000
122, 202, 627.349976
106, 215, 81.959999
102, 206, 26.480000
122, 215, 114.919998
122, 213, 90.629997
123, 214, 189.559998
122, 201, 117.639999
122, 201, 85.370003
122, 213, 102.610001
114, 203, 718.950012
101, 203, 727.140015
122, 221, 108.290001
123, 202, 6.810000
101, 221, 748.510010
123, 221, 184.960007
122, 206, 43.459999
122, 215, 190.500000
123, 221, 172.880005
102, 215, 196.880005
102, 221, 72.360001
101, 206, 758.400024
102, 215, 124.870003
123, 206, 187.289993
102, 206, 116.370003
103, 214, 73.099998
121, 214, 71.449997
114, 201, 781.520020
122, 213, 120.279999
122, 214, 67.519997
102, 214, 31.860001
