Source, Destination, Travel Time
102, 203, 13.390000
115, 214, 15.350000
114, 222, 39.590000
114, 202, 51.880001
112, 215, 39.810001
114, 213, 59.400002
114, 213, 46.360001
101, 202, 49.849998
112, 214, 63.630001
121, 201, 52.939999
114, 206, 77.529999
101, 203, 86.040001
102, 222, 66.370003
114, 206, 76.470001
114, 222, 78.720001
101, 222, 88.699997
102, 201, 79.830002
114, 203, 93.769997
122, 206, 86.050003
114, 206, 75.269997
103, 214, 99.250000
122, 221, 21.639999
101, 222, 50.270000
101, 203, 63.689999
114, 203, 79.250000
114, 206, 65.129997
112, 221, 14.080000
122, 214, 104.430000
122, 214, 59.220001
114, 221, 67.489998
114, 206, 51.709999
114, 203, 65.379997
101, 206, 50.290001
101, 203, 52.340000
114, 206, 49.480000
114, 206, 42.630001
113, 215, 29.830000
114, 206, 51.610001
115, 206, 85.849998
115, 202, 145.089996
114, 201, 147.639999
122, 215, 149.750000
101, 215, 154.500000
114, 213, 9.870000
103, 222, 6.810000
123, 215, 126.070000
101, 214, 124.919998
114, 203, 97.410004
123, 214, 155.550003
122, 201, 38.049999
115, 203, 126.519997
113, 222, 175.800003
102, 214, 99.570000
115, 203, 116.360001
121, 214, 78.519997
101, 222, 102.230003
114, 221, 101.570000
114, 222, 100.209999
122, 221, 10.710000
121, 201, 65.720001
101, 206, 99.349998
101, 203, 90.220001
115, 222, 100.389999
114, 206, 57.740002
101, 221, 85.300003
114, 203, 93.120003
101, 206, 47.509998
101, 203, 39.709999
114, 221, 93.309998
114, 222, 89.889999
114, 215, 24.459999
101, 206, 47.950001
101, 203, 112.500000
114, 203, 60.560001
114, 221, 70.620003
123, 206, 123.129997
113, 215, 43.209999
113, 215, 26.980000
114, 221, 52.889999
114, 206, 31.639999
102, 206, 82.820000
113, 214, 14.780000
122, 213, 181.919998
114, 221, 39.639999
115, 214, 59.709999
115, 214, 52.450001
114, 201, 150.910004
123, 215, 243.169998
114, 213, 88.730003
114, 213, 70.080002
122, 215, 149.240005
123, 215, 170.759995
101, 213, 209.229996
101, 214, 194.630005
123, 214, 166.600006
101, 213, 209.300003
102, 213, 227.570007
102, 214, 90.980003
121, 201, 141.539993
112, 213, 162.639999
122, 206, 44.040001
114, 206, 96.440002
102, 213, 214.300003
114, 215, 76.150002
122, 206, 29.110001
114, 206, 82.360001
122, 213, 118.260002
102, 201, 21.770000
114, 221, 96.370003
114, 206, 78.989998
114, 202, 302.529999
114, 206, 65.580002
114, 215, 47.450001
123, 202, 14.770000
123, 221, 134.190002
114, 206, 64.739998
114, 206, 67.120003
123, 214, 166.910004
115, 206, 197.509995
102, 206, 58.500000
113, 221, 150.080002
115, 221, 206.889999
114, 202, 318.130005
115, 221, 194.919998
114, 201, 161.660004
102, 215, 151.979996
114, 201, 167.960007
102, 215, 155.130005
121, 215, 44.500000
123, 213, 193.360001
114, 215, 108.330002
121, 213, 38.810001
122, 201, 55.750000
115, 201, 324.200012
101, 202, 286.470001
122, 203, 41.029999
122, 203, 7.030000
122, 221, 96.440002
103, 206, 50.880001
115, 206, 218.699997
114, 215, 87.000000
122, 206, 57.299999
101, 203, 199.559998
