Source, Destination, Travel Time
113, 214, 8.250000
102, 206, 21.070000
114, 213, 33.950001
123, 215, 51.150002
115, 201, 40.189999
101, 202, 35.860001
106, 203, 46.599998
112, 201, 59.820000
122, 201, 47.720001
114, 215, 49.099998
101, 202, 35.709999
101, 203, 79.250000
101, 222, 42.340000
114, 215, 44.660000
101, 203, 53.570000
101, 203, 52.439999
114, 215, 18.240000
114, 206, 91.410004
114, 206, 104.839996
122, 206, 94.190002
114, 221, 77.019997
114, 221, 68.180000
114, 206, 94.389999
114, 206, 79.260002
114, 221, 46.529999
115, 206, 83.059998
123, 202, 50.500000
123, 221, 89.230003
114, 206, 42.360001
123, 203, 43.150002
115, 214, 82.720001
101, 206, 64.519997
115, 214, 35.270000
115, 206, 91.680000
115, 206, 90.169998
115, 214, 6.810000
115, 221, 80.440002
102, 206, 89.339996
121, 215, 85.250000
114, 213, 67.760002
122, 202, 128.710007
114, 213, 68.879997
122, 215, 150.509995
103, 215, 93.849998
114, 203, 95.470001
122, 213, 162.160004
122, 214, 128.839996
114, 201, 134.350006
113, 201, 155.919998
115, 203, 81.930000
101, 214, 150.240005
102, 213, 141.160004
113, 201, 143.330002
122, 214, 133.110001
101, 214, 136.800003
101, 214, 102.849998
101, 214, 132.720001
102, 203, 112.699997
101, 214, 117.379997
101, 214, 107.330002
114, 215, 54.110001
101, 213, 118.889999
101, 214, 110.790001
114, 215, 43.410000
114, 206, 103.070000
114, 206, 104.860001
114, 221, 75.080002
113, 215, 40.369999
101, 221, 127.519997
101, 203, 89.120003
114, 203, 63.790001
101, 221, 130.710007
101, 203, 90.239998
114, 222, 185.389999
123, 206, 116.070000
123, 203, 94.029999
123, 202, 65.500000
115, 214, 29.780001
123, 201, 51.759998
123, 201, 21.469999
102, 206, 66.470001
122, 215, 236.229996
101, 215, 197.229996
123, 215, 246.660004
114, 203, 172.710007
122, 213, 146.309998
103, 201, 14.480000
114, 222, 203.110001
102, 214, 127.830002
122, 201, 25.010000
115, 222, 198.759995
114, 201, 112.349998
101, 202, 140.130005
114, 222, 160.929993
114, 222, 160.919998
101, 202, 111.239998
114, 222, 135.179993
115, 213, 190.910004
101, 203, 139.759995
101, 222, 159.619995
101, 202, 72.500000
101, 222, 161.899994
101, 222, 121.080002
102, 221, 115.860001
114, 206, 125.339996
114, 221, 137.009995
102, 221, 89.500000
114, 206, 115.480003
113, 215, 6.810000
101, 221, 91.540001
114, 206, 117.739998
114, 206, 162.750000
101, 221, 82.269997
123, 202, 68.860001
123, 202, 8.520000
115, 202, 320.950012
114, 213, 190.119995
123, 221, 102.660004
102, 222, 71.910004
114, 221, 117.150002
114, 221, 115.250000
115, 206, 226.250000
114, 213, 168.830002
121, 215, 218.960007
112, 202, 309.380005
122, 215, 226.089996
114, 213, 168.059998
123, 215, 177.690002
101, 214, 224.720001
114, 215, 153.809998
101, 213, 242.970001
114, 201, 195.479996
114, 215, 146.479996
101, 213, 150.820007
101, 214, 215.539993
122, 203, 186.380005
114, 201, 190.139999
101, 214, 175.100006
114, 222, 218.210007
114, 201, 229.619995
114, 201, 179.970001
123, 213, 176.570007
114, 201, 175.490005
113, 201, 226.929993
114, 222, 170.039993
114, 215, 143.039993
113, 222, 96.629997
114, 215, 146.759995
115, 222, 275.519989
115, 222, 226.600006
114, 215, 137.309998
122, 221, 224.929993
112, 206, 40.630001
122, 221, 204.210007
114, 221, 172.570007
102, 201, 93.690002
114, 206, 141.130005
113, 215, 12.970000
102, 206, 149.229996
123, 202, 16.629999
123, 206, 168.309998
114, 221, 167.220001
114, 221, 153.360001
123, 201, 6.810000
114, 221, 143.539993
113, 215, 6.810000
121, 215, 204.130005
101, 215, 321.799988
101, 215, 240.139999
114, 215, 184.139999
123, 214, 169.520004
102, 214, 183.490005
114, 201, 229.130005
123, 213, 237.080002
112, 214, 45.029999
114, 222, 226.500000
114, 201, 235.309998
114, 215, 176.039993
114, 215, 166.940002
102, 222, 104.940002
121, 222, 83.099998
114, 201, 204.990005
114, 215, 169.869995
114, 206, 209.559998
102, 221, 155.470001
102, 221, 140.110001
114, 206, 210.259995
114, 221, 214.539993
113, 215, 67.430000
102, 221, 91.629997
114, 206, 144.630005
102, 221, 80.150002
114, 221, 169.399994
114, 206, 151.419998
114, 221, 190.419998
123, 202, 63.209999
123, 201, 73.190002
123, 221, 173.649994
114, 221, 166.639999
123, 203, 169.820007
123, 201, 63.720001
123, 215, 330.989990
102, 215, 298.760010
102, 215, 177.270004
123, 214, 262.429993
122, 201, 296.989990
114, 215, 203.649994
121, 213, 36.830002
106, 214, 52.790001
122, 201, 147.899994
114, 215, 198.699997
102, 203, 72.559998
121, 206, 6.810000
114, 215, 190.830002
114, 215, 194.339996
102, 206, 121.839996
114, 206, 233.910004
101, 222, 370.980011
114, 206, 194.699997
102, 206, 122.669998
114, 206, 197.929993
102, 206, 72.529999
101, 206, 380.269989
123, 206, 263.510010
102, 215, 287.329987
102, 215, 181.649994
102, 215, 159.830002
114, 215, 253.130005
112, 214, 51.740002
114, 201, 554.109985
114, 201, 540.469971
114, 215, 248.419998
114, 201, 534.260010
114, 201, 475.049988
114, 201, 324.640015
101, 203, 448.309998
101, 222, 439.380005
114, 215, 172.449997
101, 203, 451.380005
101, 222, 430.420013
121, 201, 28.750000
114, 206, 269.390015
114, 206, 271.869995
102, 206, 146.949997
102, 201, 18.860001
113, 215, 45.919998
102, 201, 14.790000
122, 202, 643.330017
114, 213, 532.909973
115, 206, 549.830017
101, 206, 435.989990
123, 206, 372.519989
123, 215, 398.820007
114, 213, 525.059998
103, 202, 534.729980
114, 213, 515.210022
101, 215, 517.479980
112, 215, 92.250000
101, 213, 527.260010
101, 214, 472.820007
103, 201, 18.219999
101, 213, 481.399994
101, 214, 479.769989
114, 215, 224.479996
122, 203, 554.429993
101, 213, 479.679993
123, 214, 327.670013
122, 203, 547.000000
112, 213, 39.169998
121, 213, 86.699997
114, 201, 254.289993
113, 201, 466.510010
114, 215, 189.279999
115, 201, 610.770020
114, 206, 185.570007
102, 221, 141.720001
122, 206, 558.690002
114, 206, 186.869995
102, 206, 125.169998
114, 206, 188.369995
102, 215, 256.750000
102, 215, 255.089996
101, 215, 621.169983
114, 203, 638.549988
122, 213, 651.020020
112, 214, 50.709999
114, 201, 632.599976
112, 203, 488.700012
114, 215, 217.210007
102, 213, 148.800003
121, 214, 48.939999
114, 203, 619.840027
114, 203, 562.909973
114, 215, 205.690002
121, 203, 376.029999
114, 203, 506.269989
114, 215, 194.770004
114, 203, 507.200012
